bucket,confidence,currentBrand,fileId,guessedBrand,model,normalizedModel,oldBrand,previewUrl,reason,reviewStatus,rule,suggestedBrand,suggestionReason,title,viewerUrl
58xxx,low,DO ROZPOZNANIA,1SDOTmNQKcZQ2JFNJbyTCZcFWZQPqdU7-,VOREL,58540,58540,DO ROZPOZNANIA,https://drive.google.com/file/d/1SDOTmNQKcZQ2JFNJbyTCZcFWZQPqdU7-/preview,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,guessed_needs_confirmation,range_53_58_vorel_low,VOREL,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,Czesci_zamienne_58540.pdf,https://drive.google.com/file/d/1SDOTmNQKcZQ2JFNJbyTCZcFWZQPqdU7-/view?usp=drivesdk
58xxx,low,DO ROZPOZNANIA,1qUNF-uKfo4-BcqNuLf0sAgPxig6sA5ll,VOREL,58550,58550,DO ROZPOZNANIA,https://drive.google.com/file/d/1qUNF-uKfo4-BcqNuLf0sAgPxig6sA5ll/preview,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,guessed_needs_confirmation,range_53_58_vorel_low,VOREL,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,Czesci_zamienne_58550.pdf,https://drive.google.com/file/d/1qUNF-uKfo4-BcqNuLf0sAgPxig6sA5ll/view?usp=drivesdk
58xxx,low,DO ROZPOZNANIA,1PGm9nPRRjXyipT-KN2_F3WQrwQDUxvLB,VOREL,58643,58643,DO ROZPOZNANIA,https://drive.google.com/file/d/1PGm9nPRRjXyipT-KN2_F3WQrwQDUxvLB/preview,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,guessed_needs_confirmation,range_53_58_vorel_low,VOREL,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,Czesci_zamienne_58643.pdf,https://drive.google.com/file/d/1PGm9nPRRjXyipT-KN2_F3WQrwQDUxvLB/view?usp=drivesdk
58xxx,low,DO ROZPOZNANIA,1dwqu1515cLCuUrCIL0TPdtKwjB9LX-It,VOREL,58661,58661,DO ROZPOZNANIA,https://drive.google.com/file/d/1dwqu1515cLCuUrCIL0TPdtKwjB9LX-It/preview,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,guessed_needs_confirmation,range_53_58_vorel_low,VOREL,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,Czesci_zamienne_58661.pdf,https://drive.google.com/file/d/1dwqu1515cLCuUrCIL0TPdtKwjB9LX-It/view?usp=drivesdk
58xxx,low,DO ROZPOZNANIA,1M3nXDc65ZuZr-5CAhJU8fmenwtpuF-NY,VOREL,58687,58687,DO ROZPOZNANIA,https://drive.google.com/file/d/1M3nXDc65ZuZr-5CAhJU8fmenwtpuF-NY/preview,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,guessed_needs_confirmation,range_53_58_vorel_low,VOREL,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,Czesci_zamienne_58687.pdf,https://drive.google.com/file/d/1M3nXDc65ZuZr-5CAhJU8fmenwtpuF-NY/view?usp=drivesdk
58xxx,low,DO ROZPOZNANIA,1KAmL4SD6Ig8B-MtkWiX2eJ3w8ox-1WCG,VOREL,58689,58689,DO ROZPOZNANIA,https://drive.google.com/file/d/1KAmL4SD6Ig8B-MtkWiX2eJ3w8ox-1WCG/preview,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,guessed_needs_confirmation,range_53_58_vorel_low,VOREL,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,Czesci_zamienne_58689.pdf,https://drive.google.com/file/d/1KAmL4SD6Ig8B-MtkWiX2eJ3w8ox-1WCG/view?usp=drivesdk
58xxx,low,DO ROZPOZNANIA,17tYf5Tdd0Q5Awd0pQyqTwTs6fKzfRrqI,VOREL,58690,58690,DO ROZPOZNANIA,https://drive.google.com/file/d/17tYf5Tdd0Q5Awd0pQyqTwTs6fKzfRrqI/preview,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,guessed_needs_confirmation,range_53_58_vorel_low,VOREL,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,Czesci_zamienne_58690.pdf,https://drive.google.com/file/d/17tYf5Tdd0Q5Awd0pQyqTwTs6fKzfRrqI/view?usp=drivesdk
58xxx,low,DO ROZPOZNANIA,1I-6Te_me8dQc1UbV2iL89vtzsIoCQZjT,VOREL,58691,58691,DO ROZPOZNANIA,https://drive.google.com/file/d/1I-6Te_me8dQc1UbV2iL89vtzsIoCQZjT/preview,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,guessed_needs_confirmation,range_53_58_vorel_low,VOREL,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,Czesci_zamienne_58691.pdf,https://drive.google.com/file/d/1I-6Te_me8dQc1UbV2iL89vtzsIoCQZjT/view?usp=drivesdk
58xxx,low,DO ROZPOZNANIA,10Jj2yy8sH8rRUwSpbS6gkYr36wbPgnp3,VOREL,58700,58700,DO ROZPOZNANIA,https://drive.google.com/file/d/10Jj2yy8sH8rRUwSpbS6gkYr36wbPgnp3/preview,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,guessed_needs_confirmation,range_53_58_vorel_low,VOREL,Zakres 53–58xxx wygląda na starsze numery VOREL/techniczne; brak marki w nazwie pliku.,Czesci_zamienne_58700.pdf,https://drive.google.com/file/d/10Jj2yy8sH8rRUwSpbS6gkYr36wbPgnp3/view?usp=drivesdk
66xxx,medium,DO ROZPOZNANIA,1xgcDNcn79EJMvpvY5X6bL6IltMM3mqbA,LUND,66841,66841,DO ROZPOZNANIA,https://drive.google.com/file/d/1xgcDNcn79EJMvpvY5X6bL6IltMM3mqbA/preview,Zakres 66xxx dopięty do LUND po sąsiedztwie AGD/domowym 67–68xxx.,guessed_needs_confirmation,range_66_lund_medium,LUND,Zakres 66xxx dopięty do LUND po sąsiedztwie AGD/domowym 67–68xxx.,Czesci_zamienne_66841.pdf,https://drive.google.com/file/d/1xgcDNcn79EJMvpvY5X6bL6IltMM3mqbA/view?usp=drivesdk
66xxx,medium,DO ROZPOZNANIA,1iq1gaWAa_96oN-42tAYWEa96d5tfwehh,LUND,66842,66842,DO ROZPOZNANIA,https://drive.google.com/file/d/1iq1gaWAa_96oN-42tAYWEa96d5tfwehh/preview,Zakres 66xxx dopięty do LUND po sąsiedztwie AGD/domowym 67–68xxx.,guessed_needs_confirmation,range_66_lund_medium,LUND,Zakres 66xxx dopięty do LUND po sąsiedztwie AGD/domowym 67–68xxx.,Czesci_zamienne_66842.pdf,https://drive.google.com/file/d/1iq1gaWAa_96oN-42tAYWEa96d5tfwehh/view?usp=drivesdk
66xxx,medium,DO ROZPOZNANIA,1pv4v9x5dqIic2uNdH5j3U8NHUYQw9KW9,LUND,66930,66930,DO ROZPOZNANIA,https://drive.google.com/file/d/1pv4v9x5dqIic2uNdH5j3U8NHUYQw9KW9/preview,Zakres 66xxx dopięty do LUND po sąsiedztwie AGD/domowym 67–68xxx.,guessed_needs_confirmation,range_66_lund_medium,LUND,Zakres 66xxx dopięty do LUND po sąsiedztwie AGD/domowym 67–68xxx.,Czesci_zamienne_66930.pdf,https://drive.google.com/file/d/1pv4v9x5dqIic2uNdH5j3U8NHUYQw9KW9/view?usp=drivesdk
66xxx,medium,DO ROZPOZNANIA,1L0AX6fm3QmjQ6V9twk4pUKPJ7myX3mkR,LUND,66932,66932,DO ROZPOZNANIA,https://drive.google.com/file/d/1L0AX6fm3QmjQ6V9twk4pUKPJ7myX3mkR/preview,Zakres 66xxx dopięty do LUND po sąsiedztwie AGD/domowym 67–68xxx.,guessed_needs_confirmation,range_66_lund_medium,LUND,Zakres 66xxx dopięty do LUND po sąsiedztwie AGD/domowym 67–68xxx.,Czesci_zamienne_66932.pdf,https://drive.google.com/file/d/1L0AX6fm3QmjQ6V9twk4pUKPJ7myX3mkR/view?usp=drivesdk
66xxx,medium,DO ROZPOZNANIA,1fqCeZsLhMXTZUVciY_38lXzyVy9mWARr,LUND,66934,66934,DO ROZPOZNANIA,https://drive.google.com/file/d/1fqCeZsLhMXTZUVciY_38lXzyVy9mWARr/preview,Zakres 66xxx dopięty do LUND po sąsiedztwie AGD/domowym 67–68xxx.,guessed_needs_confirmation,range_66_lund_medium,LUND,Zakres 66xxx dopięty do LUND po sąsiedztwie AGD/domowym 67–68xxx.,Czesci_zamienne_66934.pdf,https://drive.google.com/file/d/1fqCeZsLhMXTZUVciY_38lXzyVy9mWARr/view?usp=drivesdk
66xxx,medium,DO ROZPOZNANIA,1uhaX527zQXfyaObltYMsMsvLOuSGs840,LUND,66936,66936,DO ROZPOZNANIA,https://drive.google.com/file/d/1uhaX527zQXfyaObltYMsMsvLOuSGs840/preview,Zakres 66xxx dopięty do LUND po sąsiedztwie AGD/domowym 67–68xxx.,guessed_needs_confirmation,range_66_lund_medium,LUND,Zakres 66xxx dopięty do LUND po sąsiedztwie AGD/domowym 67–68xxx.,Czesci_zamienne_66936.pdf,https://drive.google.com/file/d/1uhaX527zQXfyaObltYMsMsvLOuSGs840/view?usp=drivesdk
66xxx,medium,DO ROZPOZNANIA,19JjxFxnDLYuIk1NbGuJbQAW3PPCdsQYm,LUND,66940,66940,DO ROZPOZNANIA,https://drive.google.com/file/d/19JjxFxnDLYuIk1NbGuJbQAW3PPCdsQYm/preview,Zakres 66xxx dopięty do LUND po sąsiedztwie AGD/domowym 67–68xxx.,guessed_needs_confirmation,range_66_lund_medium,LUND,Zakres 66xxx dopięty do LUND po sąsiedztwie AGD/domowym 67–68xxx.,Czesci_zamienne_66940.pdf,https://drive.google.com/file/d/19JjxFxnDLYuIk1NbGuJbQAW3PPCdsQYm/view?usp=drivesdk
66xxx,medium,DO ROZPOZNANIA,15vWhtzFDm3ySW1shw3PLRCxBHXBYB4PK,LUND,66950,66950,DO ROZPOZNANIA,https://drive.google.com/file/d/15vWhtzFDm3ySW1shw3PLRCxBHXBYB4PK/preview,Zakres 66xxx dopięty do LUND po sąsiedztwie AGD/domowym 67–68xxx.,guessed_needs_confirmation,range_66_lund_medium,LUND,Zakres 66xxx dopięty do LUND po sąsiedztwie AGD/domowym 67–68xxx.,Czesci_zamienne_66950.pdf,https://drive.google.com/file/d/15vWhtzFDm3ySW1shw3PLRCxBHXBYB4PK/view?usp=drivesdk
67xxx,high,DO ROZPOZNANIA,19vXAwB4N_7ZCyoXn5Ds3bqDr4ZD8KZzq,LUND,67026,67026,DO ROZPOZNANIA,https://drive.google.com/file/d/19vXAwB4N_7ZCyoXn5Ds3bqDr4ZD8KZzq/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_67026.pdf,https://drive.google.com/file/d/19vXAwB4N_7ZCyoXn5Ds3bqDr4ZD8KZzq/view?usp=drivesdk
67xxx,high,DO ROZPOZNANIA,1bNeDN9j0wxqLaPp82XaSTJEDj6rqQzs3,LUND,67032,67032,DO ROZPOZNANIA,https://drive.google.com/file/d/1bNeDN9j0wxqLaPp82XaSTJEDj6rqQzs3/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_67032.pdf,https://drive.google.com/file/d/1bNeDN9j0wxqLaPp82XaSTJEDj6rqQzs3/view?usp=drivesdk
67xxx,high,DO ROZPOZNANIA,1jdo0kJQvoONEiBl8F0uURd4cRrE6Rp9a,LUND,67033,67033,DO ROZPOZNANIA,https://drive.google.com/file/d/1jdo0kJQvoONEiBl8F0uURd4cRrE6Rp9a/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_67033.pdf,https://drive.google.com/file/d/1jdo0kJQvoONEiBl8F0uURd4cRrE6Rp9a/view?usp=drivesdk
67xxx,high,DO ROZPOZNANIA,1Tie2PNeQSfDNL44ymrVTpHSTX9ibE9Bn,LUND,67034,67034,DO ROZPOZNANIA,https://drive.google.com/file/d/1Tie2PNeQSfDNL44ymrVTpHSTX9ibE9Bn/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_67034.pdf,https://drive.google.com/file/d/1Tie2PNeQSfDNL44ymrVTpHSTX9ibE9Bn/view?usp=drivesdk
67xxx,high,DO ROZPOZNANIA,14WCUhH1H_KPdEA7loRkMULL5ky81RfjS,LUND,67090,67090,DO ROZPOZNANIA,https://drive.google.com/file/d/14WCUhH1H_KPdEA7loRkMULL5ky81RfjS/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_67090.pdf,https://drive.google.com/file/d/14WCUhH1H_KPdEA7loRkMULL5ky81RfjS/view?usp=drivesdk
67xxx,high,DO ROZPOZNANIA,1TEVNQLD2nBlq59C8ifhx4CCY6dAm9KHV,LUND,67091,67091,DO ROZPOZNANIA,https://drive.google.com/file/d/1TEVNQLD2nBlq59C8ifhx4CCY6dAm9KHV/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_67091.pdf,https://drive.google.com/file/d/1TEVNQLD2nBlq59C8ifhx4CCY6dAm9KHV/view?usp=drivesdk
67xxx,high,DO ROZPOZNANIA,17yqyOAsQzQibGCNYcZ6cJ6VAWBPaBTGb,LUND,67092,67092,DO ROZPOZNANIA,https://drive.google.com/file/d/17yqyOAsQzQibGCNYcZ6cJ6VAWBPaBTGb/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_67092.pdf,https://drive.google.com/file/d/17yqyOAsQzQibGCNYcZ6cJ6VAWBPaBTGb/view?usp=drivesdk
67xxx,high,DO ROZPOZNANIA,1Bls_G_AkABNpeTVRY_thcuuQS8m_tPQo,LUND,67110,67110,DO ROZPOZNANIA,https://drive.google.com/file/d/1Bls_G_AkABNpeTVRY_thcuuQS8m_tPQo/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_67110.pdf,https://drive.google.com/file/d/1Bls_G_AkABNpeTVRY_thcuuQS8m_tPQo/view?usp=drivesdk
67xxx,high,DO ROZPOZNANIA,1ktJ7KmlxDQS5XQQA7VunY2_Oro5clMdQ,LUND,67111,67111,DO ROZPOZNANIA,https://drive.google.com/file/d/1ktJ7KmlxDQS5XQQA7VunY2_Oro5clMdQ/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_67111.pdf,https://drive.google.com/file/d/1ktJ7KmlxDQS5XQQA7VunY2_Oro5clMdQ/view?usp=drivesdk
67xxx,high,DO ROZPOZNANIA,1opQ0Jboga9vrY3dfCMoy7KRI83l3Y82O,LUND,67112,67112,DO ROZPOZNANIA,https://drive.google.com/file/d/1opQ0Jboga9vrY3dfCMoy7KRI83l3Y82O/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_67112.pdf,https://drive.google.com/file/d/1opQ0Jboga9vrY3dfCMoy7KRI83l3Y82O/view?usp=drivesdk
67xxx,high,DO ROZPOZNANIA,1dVIGzYk4NPHLfogE4yIMQNAYo839Fxm7,LUND,67113,67113,DO ROZPOZNANIA,https://drive.google.com/file/d/1dVIGzYk4NPHLfogE4yIMQNAYo839Fxm7/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_67113.pdf,https://drive.google.com/file/d/1dVIGzYk4NPHLfogE4yIMQNAYo839Fxm7/view?usp=drivesdk
67xxx,high,DO ROZPOZNANIA,1kziacb43TsXzvpQWXUwY8wE0HP2JSFK5,LUND,67120,67120,DO ROZPOZNANIA,https://drive.google.com/file/d/1kziacb43TsXzvpQWXUwY8wE0HP2JSFK5/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_67120.pdf,https://drive.google.com/file/d/1kziacb43TsXzvpQWXUwY8wE0HP2JSFK5/view?usp=drivesdk
67xxx,high,DO ROZPOZNANIA,1wobCpeyb2fEkwk0TVYbKWMlTKWrNhroZ,LUND,67121,67121,DO ROZPOZNANIA,https://drive.google.com/file/d/1wobCpeyb2fEkwk0TVYbKWMlTKWrNhroZ/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_67121.pdf,https://drive.google.com/file/d/1wobCpeyb2fEkwk0TVYbKWMlTKWrNhroZ/view?usp=drivesdk
67xxx,high,DO ROZPOZNANIA,1I9MZzQQnxW70O6pUcNDMjqYgdxz-BsTB,LUND,67125,67125,DO ROZPOZNANIA,https://drive.google.com/file/d/1I9MZzQQnxW70O6pUcNDMjqYgdxz-BsTB/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_67125.pdf,https://drive.google.com/file/d/1I9MZzQQnxW70O6pUcNDMjqYgdxz-BsTB/view?usp=drivesdk
67xxx,high,DO ROZPOZNANIA,1Tjg50-gsmQzJas0WRUTRIhyDJEHJFSdc,LUND,67180,67180,DO ROZPOZNANIA,https://drive.google.com/file/d/1Tjg50-gsmQzJas0WRUTRIhyDJEHJFSdc/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_67180.pdf,https://drive.google.com/file/d/1Tjg50-gsmQzJas0WRUTRIhyDJEHJFSdc/view?usp=drivesdk
67xxx,high,DO ROZPOZNANIA,1qvlK8vbXl1IEiaZ9juThIyEklwp6SZ93,LUND,67200,67200,DO ROZPOZNANIA,https://drive.google.com/file/d/1qvlK8vbXl1IEiaZ9juThIyEklwp6SZ93/preview,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,guessed_needs_confirmation,range_67_68_lund,LUND,Zakres AGD/domowy 67–68xxx; potwierdzone przykłady LUND w rodzinie 67xxx.,Czesci_zamienne_67200.pdf,https://drive.google.com/file/d/1qvlK8vbXl1IEiaZ9juThIyEklwp6SZ93/view?usp=drivesdk
